Concepto,Suma de    Val/MonObj,TIPO 2
Subreparto,1895525.9399999995,Real 2025
MATERIA PRIMA,1271168.3299999991,Real 2025
MANTENIMIENTO,1040044.541704162,Presupuesto 2025
DEPRECIACION,1038258.675873015,Presupuesto 2025
MANTENIMIENTO,1032758.1699999981,Real 2025
DEPRECIACION,993632.7599999986,Real 2025
MATERIA PRIMA,278680.19000000006,Presupuesto 2025
SUMINISTROS DIVERSOS,211417.2499999998,Real 2025
NORMALIZACION,141755.6000000001,Real 2025
SUMINISTROS DIVERSOS,131884.46000000002,Presupuesto 2025
VARIACION COSTOS-PROD,81728,Presupuesto 2025
VARIACION COSTOS-PROD,68787.99000000002,Real 2025
HONORARIOS,34503.2,Presupuesto 2025
HONORARIOS,33000,Real 2025
AREA SISTEMAS,30264.550000000003,Real 2025
ARRIENDOS,27706.75,Real 2025
ARRIENDOS,27232.640000000007,Presupuesto 2025
SERVICIOS BASICOS,17763.8,Real 2025
OTROS GASTOS,14831.4,Presupuesto 2025
ANALISIS LABORATORIO,8325.079999999996,Real 2025
ANALISIS LABORATORIO,7744.1399999999985,Presupuesto 2025
OTROS GASTOS,7197.68,Real 2025
SERVICIOS BASICOS,4300,Presupuesto 2025
COMBUSTIBLES,400,Presupuesto 2025
"",208.65,Real 2025
AMORTIZACION,0,Real 2025
Cierre ML,-0.03000000114093382,Real 2025
GASTOS PROYECTOS,-129694.37000000002,Real 2025
Capacidad Ociosa,-634537.8200000003,Real 2025
